Total Abgeordnete: 4379

Wassermann 422 Abgeordnete
Widder 392 Abgeordnete
Stier 388 Abgeordnete
Krebs 386 Abgeordnete
Zwillinge 384 Abgeordnete
Fische 371 Abgeordnete
Steinbock 367 Abgeordnete
Löwe 365 Abgeordnete
Jungfrau 341 Abgeordnete
Waage 340 Abgeordnete
Schütze 335 Abgeordnete
Skorpion 288 Abgeordnete

Waage 340 Abgeordnete
11002452, 'Karl', 'Weinhofer', '08.10.1942', 'SPD', 'Waage'
11002463, 'Werner', 'Weiß', '19.10.1926', 'CDU', 'Waage'
11002470, 'Friedrich', 'Welskop', '14.10.1898', 'CDU', 'Waage'
11002490, 'Lydia', 'Westrich', '21.10.1949', 'SPD', 'Waage'
11002491, 'Inge', 'Wettig-Danielmeier', '01.10.1936', 'SPD', 'Waage'
11002510, 'Eberhard', 'Wildermuth', '23.10.1890', 'FDP', 'Waage'
11002518, 'Dorothee', 'Wilms', '11.10.1929', 'CDU', 'Waage'
11002519, 'Heike', 'Wilms-Kegel', '19.10.1952', 'DIE GRÜNEN/BÜNDNIS 90', 'Waage'
11002520, 'Heinrich', 'Wilper', '12.10.1908', 'CDU', 'Waage'
11002533, 'Hans', 'Wissebach', '19.10.1919', 'CDU', 'Waage'
11002538, 'Berthold', 'Wittich', '18.10.1933', 'SPD', 'Waage'
11002545, 'Karl', 'Wittrock', '29.09.1917', 'SPD', 'Waage'
11002547, 'Manfred', 'Wörner', '24.09.1934', 'CDU', 'Waage'
11002558, 'Erich', 'Wolfram', '05.10.1928', 'SPD', 'Waage'
11002577, 'Gottfried', 'Wurche', '24.09.1929', 'SPD', 'Waage'
11002584, 'Franz Josef', 'Zebisch', '16.10.1920', 'SPD', 'Waage'
11002587, 'Werner', 'Zeitler', '28.09.1926', 'SPD', 'Waage'
11002619, 'Elisabeth', 'Altmann', '12.10.1943', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11002651, 'Ulf', 'Fink', '06.10.1942', 'CDU', 'Waage'
11002654, 'Iris', 'Follak', '16.10.1958', 'SPD', 'Waage'
11002670, 'Reinhold', 'Hemker', '08.10.1944', 'SPD', 'Waage'
11002685, 'Michaele', 'Hustedt', '15.10.1958', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11002693, 'Gerhard', 'Jüttemann', '10.10.1951', 'PDS', 'Waage'
11002701, 'Monika', 'Knoche', '24.09.1954', 'DIE LINKE.', 'Waage'
11002727, 'Heidemarie', 'Lüth', '24.09.1946', 'PDS', 'Waage'
11002732, 'Herbert', 'Meißner', '15.10.1936', 'SPD', 'Waage'
11002734, 'Angelika', 'Mertens', '11.10.1952', 'SPD', 'Waage'
11002762, 'Reinhold', 'Robbe', '09.10.1954', 'SPD', 'Waage'
11002767, 'Gerhard', 'Rübenkönig', '24.09.1942', 'SPD', 'Waage'
11002776, 'Norbert', 'Schindler', '15.10.1949', 'CDU', 'Waage'
11002777, 'Rezzo', 'Schlauch', '04.10.1947', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11002781, 'Edzard', 'Schmidt-Jortzig', '08.10.1941', 'FDP', 'Waage'
11002783, 'Heinz', 'Schmitt', '15.10.1951', 'SPD', 'Waage'
11002799, 'Bernd', 'Siebert', '17.10.1949', 'CDU', 'Waage'
