Total Abgeordnete: 726

Stier 73 Abgeordnete
Waage 68 Abgeordnete
Jungfrau 67 Abgeordnete
Zwillinge 66 Abgeordnete
Löwe 62 Abgeordnete
Krebs 61 Abgeordnete
Wassermann 60 Abgeordnete
Steinbock 59 Abgeordnete
Schütze 58 Abgeordnete
Fische 56 Abgeordnete
Widder 53 Abgeordnete
Skorpion 43 Abgeordnete

Steinbock 59 Abgeordnete

Wassermann 60 Abgeordnete
11001772, 'Peter', 'Ramsauer', '10.02.1954', 'CSU', 'Wassermann'
11002718, 'Armin', 'Laschet', '18.02.1961', 'CDU', 'Wassermann'
11003218, 'Carsten', 'Schneider', '23.01.1976', 'SPD', 'Wassermann'
11003734, 'Thomas', 'Bareiß', '15.02.1975', 'CDU', 'Wassermann'
11003772, 'Anton', 'Hofreiter', '02.02.1970', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11003802, 'Michael', 'Link', '06.02.1963', 'FDP', 'Wassermann'
11003804, 'Katja', 'Mast', '04.02.1971', 'SPD', 'Wassermann'
11003858, 'Alexander', 'Ulrich', '11.02.1971', 'BSW', 'Wassermann'
11004011, 'Steffen', 'Bilger', '16.02.1979', 'CDU', 'Wassermann'
11004033, 'Edgar', 'Franke', '21.01.1960', 'SPD', 'Wassermann'
11004057, 'Manuel', 'Höferlin', '06.02.1973', 'FDP', 'Wassermann'
11004070, 'Sven-Christian', 'Kindler', '14.02.1985', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11004106, 'Agnes', 'Malczak', '08.02.1985', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11004123, 'Konstantin', 'Notz', '21.01.1971', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11004182, 'Johann', 'Wadephul', '10.02.1963', 'CDU', 'Wassermann'
11004614, 'Angelika', 'Glöckner', '05.02.1962', 'SPD', 'Wassermann'
11004622, 'Sarah', 'Ryglewski', '31.01.1983', 'SPD', 'Wassermann'
11004662, 'Bernd', 'Baumann', '31.01.1958', 'AfD', 'Wassermann'
11004665, 'Canan', 'Bayram', '11.02.1966', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11004669, 'Marc', 'Bernhard', '05.02.1972', 'AfD', 'Wassermann'
11004703, 'Anke', 'Domscheit-Berg', '17.02.1968', 'DIE LINKE.', 'Wassermann'
11004710, 'Wiebke', 'Esdar', '11.02.1984', 'SPD', 'Wassermann'
11004712, 'Marcus', 'Faber', '04.02.1984', 'FDP', 'Wassermann'
11004753, 'Nicole', 'Höchst', '10.02.1970', 'AfD', 'Wassermann'
